feature,source_variable,family,description,availability_year,time_invariant,time_availability,allowed_by_cutoff,treatment,documentation_status,present_in_file,usable,reason
AGEY3X,AGEY3X,demographics,Age as of 12/31/2021 (edited/imputed),2021.0,False,2021,True,numeric,confirmed,True,True,Age as of 12/31/2021 (edited/imputed)
SEX,SEX,demographics,Sex (time-invariant),,True,time-invariant,True,categorical,confirmed,True,True,Sex (time-invariant)
RACETHX,RACETHX,demographics,Race/ethnicity edited/imputed (time-invariant),,True,time-invariant,True,categorical,confirmed,True,True,Race/ethnicity edited/imputed (time-invariant)
REGIONY3,REGIONY3,demographics,Census region as of 12/31/2021,2021.0,False,2021,True,categorical,confirmed,True,True,Census region as of 12/31/2021
MARRY6X,MARRY6X,demographics,"Marital status, Round 6 (2021), edited/imputed",2021.0,False,2021,True,categorical,confirmed,True,True,"Marital status, Round 6 (2021), edited/imputed"
RTHLTH6,RTHLTH6,health_status,"Perceived health status, Round 6 (2021)",2021.0,False,2021,True,categorical,confirmed,True,True,"Perceived health status, Round 6 (2021)"
MNHLTH6,MNHLTH6,health_status,"Perceived mental health status, Round 6 (2021)",2021.0,False,2021,True,categorical,confirmed,True,True,"Perceived mental health status, Round 6 (2021)"
INSCOVY3,INSCOVY3,access,"Health insurance coverage indicator, 2021",2021.0,False,2021,True,categorical,confirmed,True,True,"Health insurance coverage indicator, 2021"
HAVEUS6,HAVEUS6,access,"Usual source of care provider, Round 6 (2021)",2021.0,False,2021,True,categorical,confirmed,True,True,"Usual source of care provider, Round 6 (2021)"
POVCATY3,POVCATY3,socioeconomic,"Family income as % of poverty line, 2021",2021.0,False,2021,True,categorical,confirmed,True,True,"Family income as % of poverty line, 2021"
TTLPY3X,TTLPY3X,socioeconomic,"Person total income, 2021",2021.0,False,2021,True,numeric,confirmed,True,True,"Person total income, 2021"
EMPST6,EMPST6,socioeconomic,"Employment status, Round 6 (2021)",2021.0,False,2021,True,categorical,confirmed,True,True,"Employment status, Round 6 (2021)"
ERTOTY1,ERTOTY1,prior_utilization,"Emergency room visits, 2019",2019.0,False,2019,True,numeric,confirmed,True,True,"Emergency room visits, 2019"
ERTOTY2,ERTOTY2,prior_utilization,"Emergency room visits, 2020",2020.0,False,2020,True,numeric,confirmed,True,True,"Emergency room visits, 2020"
